GROUP,SCORE
Violent,1
Violent,2
Violent,1
Violent,2
Violent,4
Violent,0
Violent,2
Violent,3
Violent,0
Violent,2
Violent,2
Violent,3
Violent,0
Violent,1
Violent,0
Violent,0
Violent,2
Violent,3
Violent,0
Violent,0
Violent,0
Violent,2
Violent,3
Violent,5
Violent,3
Violent,0
Violent,2
Violent,3
Violent,2
Violent,1
Violent,2
Violent,0
Violent,0
Violent,3
Violent,4
Violent,3
Violent,4
Violent,0
Violent,4
Violent,1
Violent,1
Violent,4
Violent,0
Violent,4
Violent,1
Violent,5
Violent,1
Violent,1
Violent,2
Violent,4
Violent,1
Violent,6
Violent,2
Violent,2
Violent,4
Violent,1
Violent,2
Violent,4
Violent,0
Violent,3
Violent,3
Violent,0
Violent,3
Violent,1
Violent,2
Violent,7
Violent,2
Violent,0
Violent,0
Violent,3
Violent,1
Violent,5
Violent,4
Violent,2
Violent,4
Violent,0
Violent,1
Violent,0
Violent,1
Violent,2
Violent,5
Violent,2
Violent,2
Violent,5
Violent,0
Violent,3
Violent,5
Violent,5
Violent,0
Violent,0
Violent,6
Violent,0
Violent,2
Violent,0
Violent,2
Violent,2
Violent,1
Violent,3
Violent,0
Violent,4
Violent,1
Violent,2
Violent,3
Violent,2
Violent,3
Violent,0
Violent,6
Violent,2
Sex,2
Sex,4
Sex,0
Sex,0
Sex,2
Sex,0
Sex,2
Sex,0
Sex,2
Sex,3
Sex,0
Sex,1
Sex,0
Sex,2
Sex,0
Sex,0
Sex,1
Sex,0
Sex,3
Sex,0
Sex,0
Sex,3
Sex,2
Sex,2
Sex,1
Sex,0
Sex,1
Sex,1
Sex,6
Sex,0
Sex,2
Sex,2
Sex,1
Sex,2
Sex,0
Sex,4
Sex,1
Sex,5
Sex,2
Sex,6
Sex,1
Sex,0
Sex,3
Sex,3
Sex,1
Sex,0
Sex,0
Sex,1
Sex,4
Sex,0
Sex,2
Sex,0
Sex,0
Sex,5
Sex,2
Sex,1
Sex,2
Sex,3
Sex,3
Sex,0
Sex,2
Sex,0
Sex,2
Sex,3
Sex,0
Sex,1
Sex,2
Sex,5
Sex,0
Sex,1
Sex,1
Sex,0
Sex,1
Sex,1
Sex,1
Sex,1
Sex,5
Sex,3
Sex,0
Sex,0
Sex,2
Sex,0
Sex,0
Sex,4
Sex,3
Sex,0
Sex,2
Sex,2
Sex,3
Sex,1
Sex,1
Sex,7
Sex,4
Sex,3
Sex,1
Sex,3
Sex,0
Sex,1
Sex,4
Sex,0
Sex,2
Sex,3
Sex,4
Sex,4
Sex,4
Sex,0
Sex,0
Sex,4
Neutral,4
Neutral,1
Neutral,3
Neutral,3
Neutral,1
Neutral,6
Neutral,3
Neutral,4
Neutral,4
Neutral,2
Neutral,5
Neutral,5
Neutral,3
Neutral,2
Neutral,4
Neutral,4
Neutral,4
Neutral,7
Neutral,4
Neutral,2
Neutral,2
Neutral,6
Neutral,5
Neutral,7
Neutral,6
Neutral,7
Neutral,1
Neutral,2
Neutral,2
Neutral,3
Neutral,3
Neutral,4
Neutral,0
Neutral,5
Neutral,3
Neutral,6
Neutral,3
Neutral,1
Neutral,6
Neutral,1
Neutral,3
Neutral,3
Neutral,3
Neutral,0
Neutral,4
Neutral,4
Neutral,3
Neutral,3
Neutral,1
Neutral,3
Neutral,5
Neutral,7
Neutral,0
Neutral,3
Neutral,2
Neutral,3
Neutral,7
Neutral,3
Neutral,1
Neutral,2
Neutral,5
Neutral,1
Neutral,3
Neutral,3
Neutral,2
Neutral,2
Neutral,3
Neutral,3
Neutral,3
Neutral,0
Neutral,0
Neutral,0
Neutral,3
Neutral,2
Neutral,0
Neutral,2
Neutral,3
Neutral,2
Neutral,4
Neutral,6
Neutral,4
Neutral,2
Neutral,0
Neutral,6
Neutral,2
Neutral,1
Neutral,3
Neutral,5
Neutral,2
Neutral,2
Neutral,7
Neutral,5
Neutral,4
Neutral,3
Neutral,3
Neutral,2
Neutral,6
Neutral,2
Neutral,4
Neutral,4
Neutral,1
Neutral,2
Neutral,2
Neutral,5
Neutral,4
Neutral,3
Neutral,4
Neutral,3
