Item,Store,Price
Cream Cheese,CO-OP,4.19
Cream Cheese,SAFEWAY,3
Cream Cheese,SOBEYS,3.99
Cream Cheese,SUPERSTORE,2.66
Whipcream,CO-OP,4.49
Whipcream,SAFEWAY,4.56
Whipcream,SOBEYS,4.59
Whipcream,SUPERSTORE,2.99
"Yogurt, Danone",CO-OP,2.99
"Yogurt, Danone",SAFEWAY,3.65
"Yogurt, Danone",SOBEYS,3.69
"Yogurt, Danone",SUPERSTORE,3.67
Feta Cheese,CO-OP,6.59
Feta Cheese,SAFEWAY,5.84
Feta Cheese,SOBEYS,5.49
Feta Cheese,SUPERSTORE,6.99
Omega-3 Eggs,CO-OP,3.19
Omega-3 Eggs,SAFEWAY,3.45
Omega-3 Eggs,SOBEYS,3.25
Omega-3 Eggs,SUPERSTORE,3.25
Cottage Cheese,CO-OP,2.49
Cottage Cheese,SAFEWAY,2.75
Cottage Cheese,SOBEYS,2.99
Cottage Cheese,SUPERSTORE,2.08
Striploin Steak,CO-OP,15.41
Striploin Steak,SAFEWAY,18.72
Striploin Steak,SOBEYS,20.89
Striploin Steak,SUPERSTORE,15.38
Blade Roast,CO-OP,6.59
Blade Roast,SAFEWAY,6.59
Blade Roast,SOBEYS,9.27
Blade Roast,SUPERSTORE,6.58
Proscuitto,CO-OP,3.59
Proscuitto,SAFEWAY,3.38
Proscuitto,SOBEYS,3.39
Proscuitto,SUPERSTORE,3.39
Lean Ground Beef,CO-OP,3.95
Lean Ground Beef,SAFEWAY,5.86
Lean Ground Beef,SOBEYS,5.47
Lean Ground Beef,SUPERSTORE,3.94
Pork Tenderloin,CO-OP,11
Pork Tenderloin,SAFEWAY,13.79
Pork Tenderloin,SOBEYS,13.62
Pork Tenderloin,SUPERSTORE,8.99
Chicken Breast,CO-OP,16.79
Chicken Breast,SAFEWAY,9.21
Chicken Breast,SOBEYS,9.46
Chicken Breast,SUPERSTORE,13.98
"Frozen Fish, Highliner",CO-OP,10.99
"Frozen Fish, Highliner",SAFEWAY,11.44
"Frozen Fish, Highliner",SOBEYS,11.49
"Frozen Fish, Highliner",SUPERSTORE,10.99
Canned Beans,CO-OP,0.89
Canned Beans,SAFEWAY,0.75
Canned Beans,SOBEYS,0.89
Canned Beans,SUPERSTORE,0.74
NP Cereal,CO-OP,4.99
NP Cereal,SAFEWAY,4.59
NP Cereal,SOBEYS,3.99
NP Cereal,SUPERSTORE,5.29
Melba Toast,CO-OP,2.99
Melba Toast,SAFEWAY,3.14
Melba Toast,SOBEYS,2.29
Melba Toast,SUPERSTORE,2.07
Breton MiniCrackers,CO-OP,2.59
Breton MiniCrackers,SAFEWAY,2.99
Breton MiniCrackers,SOBEYS,2.69
Breton MiniCrackers,SUPERSTORE,1.97
"ChoChips, Chipits",CO-OP,7.99
"ChoChips, Chipits",SAFEWAY,6.55
"ChoChips, Chipits",SOBEYS,6.99
"ChoChips, Chipits",SUPERSTORE,5.66
Bakers Chocolate,CO-OP,4.29
Bakers Chocolate,SAFEWAY,3.86
Bakers Chocolate,SOBEYS,3.99
Bakers Chocolate,SUPERSTORE,3.57
